Source:,/Users/tianaoli/Library/CloudStorage/OneDrive-JohnsHopkins/Electrostimulator/electrostimulatorV4/pcbs/regulators/regulators.kicad_sch,,,,,,,,,,,
Date:,"2024 January 17, Wednesday 19:40:57",,,,,,,,,,,
Tool:,Eeschema 7.0.6-0,,,,,,,,,,,
Generator:,/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py,,,,,,,,,,,
Component Count:,50,,,,,,,,,,,
,,,,,,,,,,,,
Collated Components:,,,,,,,,,,,,
,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,DNP,Height,Manufacturer_Name,Manufacturer_Part_Number,Mouser Part Number,Mouser Price/Stock
1,6,"C1, CIN_1, CN1, COUT1_1, COUT2_1, CP1",10uF,Device:C,Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,~,,,,,,
2,1,C2,22uF,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,,,,,
3,2,"CC1_1, CC2_1",47nF,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,,,,,
4,4,"CN2, CN5, CP2, CP5",0.22uF,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,,,,,
5,2,"CN3, CP3",1nF,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,,,,,
6,4,"CN4, CP4, CVREF_1, CVREG_1",1uF,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,,,,,
7,1,CN6,0.1uF,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,,,,,
8,2,"D1, D2",DFLS240L-7,Diode:DFLS240L-7,Diode_SMD:D_PowerDI-123,,,,,,,
9,3,"DN1, DN2, DP1",RB068L150DDTE25,RB068L150DDTE25:RB068L150DDTE25,RB068L150:DIOM5026X220N,https://fscdn.rohm.com/en/products/databook/datasheet/discrete/diode/schottky_barrier/rb068l150ddte25-e.pdf,,2.2,ROHM Semiconductor,RB068L150DDTE25,755-RB068L150DDTE25,https://www.mouser.co.uk/ProductDetail/ROHM-Semiconductor/RB068L150DDTE25?qs=HXFqYaX1Q2wo%2F7dyRQhxHg%3D%3D
10,2,"IC1, IC2",LT8365HMSE#PBF,LT8365HMSE#PBF:LT8365HMSE#PBF,LT8365:SOP50P490X110-17N,https://www.analog.com/media/en/technical-documentation/data-sheets/LT8365.pdf,,1.1,Analog Devices,LT8365HMSE#PBF,584-LT8365HMSE#PBF,https://www.mouser.co.uk/ProductDetail/Analog-Devices/LT8365HMSEPBF?qs=GBLSl2Akirvi5%252BAyHwg2vw%3D%3D
11,1,J1,Conn_01x06_Pin,Connector:Conn_01x06_Pin,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Horizontal,~,,,,,,
12,1,J2,Conn_01x02_Socket,Connector:Conn_01x02_Socket,Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Horizontal,~,,,,,,
13,1,L1_1,6.8uH,Device:L,Inductor_SMD:L_Coilcraft_XAL4040-XXX,~,,,,,,
14,3,"L2_1, LN1, LP1",10uH,Device:L,Inductor_SMD:L_Coilcraft_XAL4040-XXX,~,,,,,,
15,1,RC1_1,22k,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,,
16,1,RC2_1,12k,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,,
17,1,RFB1_1,137k,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,,
18,1,RFB2_1,118k,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,,
19,1,RFT1_1,2.43M,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,,
20,1,RFT2_1,2.32M,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,,
21,2,"RN1, RP1",107k,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,,
22,2,"RN2, RP2",84.5k,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,,
23,1,RN3,24k,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,,
24,2,"RN4, RP4",1M,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,,
25,1,RN5,20,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,,
26,1,RP3,49.3k,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,,
27,1,U1,ADP5070AREZ,Regulator_Switching:ADP5070AREZ,Package_SO:ETSSOP-20-1EP_4.4x6.5mm_P0.65mm_EP3x4.2mm,https://www.analog.com/media/en/technical-documentation/data-sheets/ADP5070.pdf,,,,,,
28,1,U2,AZ1117IH-5.0TRG1,New:AZ1117IH-5.0TRG1,Package_TO_SOT_SMD:SOT-223-3_TabPin2,,,,,,,